Campaign ID,Campaign Name,Audience,Age,Geography,Reach,Impressions,Frequency,Clicks,Unique Clicks,Unique Link Clicks (ULC),Click-Through Rate (CTR),Unique Click-Through Rate (Unique CTR),Amount Spent in INR,Cost per Result (CPR),Cost Per Click (CPC),Revenue
Campaign 4,SHU_Students (Canada),Students,18-24,Canada,759,878,1.156785244,52,44,34,5.92255125,5.79710145,294.82,8.67,5.66960155,294.8192806
Campaign 4,SHU_Students (Canada),Students,25-34,Canada,218,243,1.114678899,18,18,15,7.40740741,8.25688073,101.06,6.74,5.61463581,101.0634446
Campaign 5,SHU_Students(Ghana),Students,13-17,Ghana,5355,8920,1.66573296,180,154,93,2.01793722,2.87581699,177.46,1.91,0.98588916,177.4600488
Campaign 5,SHU_Students(Ghana),Students,25-34,Ghana,3717,4620,1.242937853,184,160,46,3.98268398,4.30454668,282.22,6.14,1.53378442,282.2163333
Campaign 5,SHU_Students(Ghana),Students,18-24,Ghana,5952,6943,1.166498656,284,238,98,4.09045081,3.99865591,378.1,3.86,1.33135077,378.1036187
Campaign 6,SHU_Students (India),Students,18-24,India,30110,35372,1.174759216,1308,1162,934,3.6978401,3.859183,894,0.96,0.68348252,893.9951362
Campaign 6,SHU_Students (India),Students,25-34,India,1721,1874,1.088901801,92,76,53,4.90928495,4.41603719,61.21,1.15,0.66537891,61.21485972
Campaign 7,SHU_Students(Nepal),Students,13-17,Nepal,6145,19474,3.169080553,325,246,129,1.66889186,4.00325468,211.76,1.64,0.65156015,211.7570488
Campaign 7,SHU_Students(Nepal),Students,18-24,Nepal,18900,36659,1.93962963,849,688,306,2.31593879,3.64021164,634.64,2.07,0.74751528,634.6404727
Campaign 7,SHU_Students(Nepal),Students,25-34,Nepal,4623,9082,1.9645252,246,212,83,2.70865448,4.58576682,188.84,2.28,0.76765236,188.8424806
Campaign 8,SHU_Students (Nigeria),Students,13-17,Nigeria,8516,12372,1.452794739,970,696,408,7.84028451,8.1728511,282.21,0.69,0.29093767,282.2095399
Campaign 8,SHU_Students (Nigeria),Students,18-24,Nigeria,11027,13820,1.253287386,1491,1132,548,10.78871201,10.26571144,542.67,0.99,0.36396575,542.6729333
Campaign 8,SHU_Students (Nigeria),Students,25-34,Nigeria,2386,2782,1.165968148,304,230,117,10.92739037,9.63956412,117.9,1.01,0.38782085,117.8975384
Campaign 9,SHU_Students(UAE),Students,13-17,UAE,1579,2079,1.316656111,35,32,20,1.68350168,2.02659911,104.63,5.23,2.98942007,104.6297025
Campaign 9,SHU_Students(UAE),Students,18-24,UAE,2862,3234,1.129979036,72,60,27,2.22634508,2.09643606,316.14,11.71,4.39083878,316.1403922
Campaign 9,SHU_Students(UAE),Students,25-34,UAE,2892,3347,1.157330567,135,102,41,4.0334628,3.52697095,455.49,11.11,3.3739993,455.4899055
